date,time_step,observed,simulated,residual
2007-05-11,3053,7.6024329204954055,2.8916942320311763,4.710738688464229
2007-05-12,3054,7.276614366759888,3.705534948744827,3.571079418015061
2007-05-13,3055,6.874771483819417,4.58573897003911,2.289032513780308
2007-05-14,3056,6.440346745505394,4.949148015125848,1.491198730379546
2007-05-15,3057,6.027643244107072,4.821075756051424,1.206567488055648
2007-05-16,3058,5.6258003611666005,4.493051841596314,1.1327485195702867
2007-05-17,3059,5.256539333599681,3.7971202795219288,1.4594190540777525
2007-05-18,3060,4.8981389244906115,3.205818877310241,1.6923200471803703
2007-05-19,3061,4.594041607670794,3.3102486490780962,1.2837929585926982
2007-05-20,3062,4.398550475429484,3.8871258436627034,0.511424631766781
2007-05-21,3063,4.452853567718737,4.22939605839602,0.22345750932271713
2007-05-22,3064,4.246501817019576,4.4155984391128404,-0.1690966220932646
2007-05-23,3065,4.040150066320416,4.801184434102134,-0.7610343677817175
2007-05-24,3066,3.822937697163405,5.664010727345658,-1.8410730301822529
2007-05-25,3067,3.594864709548541,6.312819946156024,-2.717955236607483
2007-05-26,3068,3.3450704850179784,5.9415052460419675,-2.596434761023989
2007-05-27,3069,3.138718734318817,5.029067262463004,-1.8903485281441865
2007-05-28,3070,3.062694405113864,4.902054252612206,-1.8393598474983426
2007-05-29,3071,2.9540882205353576,5.792838367811589,-2.8387501472762313
2007-05-30,3072,2.82376079904115,6.138031253816257,-3.3142704547751065
2007-05-31,3073,2.682572759089093,5.282909547881424,-2.600336788792331
2007-06-01,3074,2.530524100679185,3.7048488583883907,-1.1743247577092055
2007-06-02,3075,2.367614823811426,2.9412890175566115,-0.5736741937451857
2007-06-03,3076,2.2264267838593685,2.395861594232178,-0.1694348103728096
2007-06-04,3077,2.096099362365162,1.725975745539724,0.37012361682543804
2007-06-05,3078,2.128681217738714,1.664017873560225,0.4646633441784891
2007-06-06,3079,2.3458935868957256,1.7942197460395832,0.5516738408561424
2007-06-07,3080,2.0852387439073112,2.127214752702882,-0.04197600879557095
