date,time_step,observed,simulated,residual
1999-01-10,10,0.616883128405913,2.2307807165790013e-22,0.616883128405913
1999-01-11,11,0.6125388810227727,2.2307807165790027e-22,0.6125388810227727
1999-01-12,12,0.6081946336396323,2.2307807165790046e-22,0.6081946336396323
1999-01-13,13,0.6016782625649221,2.230780716579006e-22,0.6016782625649221
1999-01-14,14,0.5984200770275669,2.230780716579008e-22,0.5984200770275669
1999-01-15,15,0.5962479533359968,2.2307807165790093e-22,0.5962479533359968
1999-01-16,16,0.5940758296444267,2.2307807165790107e-22,0.5940758296444267
1999-01-17,17,0.5908176441070716,2.2307807165790126e-22,0.5908176441070716
1999-01-18,18,0.5864733967239314,2.230780716579014e-22,0.5864733967239314
1999-01-19,19,0.5832152111865762,2.230780716579016e-22,0.5832152111865762
1999-01-20,20,0.6190552520974829,2.2307807165790173e-22,0.6190552520974829
1999-01-21,21,0.6016782625649221,2.230780716579019e-22,0.6016782625649221
1999-01-22,22,0.5940758296444267,2.230780716579021e-22,0.5940758296444267
1999-01-23,23,0.6299158705553336,2.2307807165790225e-22,0.6299158705553336
1999-01-24,24,0.6842189628445865,2.2307807165790244e-22,0.6842189628445865
1999-01-25,25,0.7113705089892131,2.230780716579026e-22,0.7113705089892131
1999-01-26,26,0.7168008182181381,2.2307807165790276e-22,0.7168008182181381
1999-01-27,27,0.7113705089892131,2.230780716579029e-22,0.7113705089892131
1999-01-28,28,0.6842189628445865,2.230780716579031e-22,0.6842189628445865
1999-01-29,29,0.6624977259288852,2.230780716579033e-22,0.6624977259288852
1999-01-30,30,0.6516371074710346,2.230780716579034e-22,0.6516371074710346
1999-01-31,31,0.6407764890131843,2.2307807165790356e-22,0.6407764890131843
1999-02-01,32,0.6299158705553336,2.230780716579037e-22,0.6299158705553336
1999-02-02,33,0.6407764890131843,2.230780716579039e-22,0.6407764890131843
1999-02-03,34,0.6516371074710346,2.230780716579041e-22,0.6516371074710346
1999-02-04,35,0.6842189628445865,2.230780716579042e-22,0.6842189628445865
1999-02-05,36,0.7059401997602875,2.230780716579044e-22,0.7059401997602875
1999-02-06,37,0.7059401997602875,2.2307807165790455e-22,0.7059401997602875
1999-02-07,38,0.6950795813024372,2.2307807165790474e-22,0.6950795813024372
1999-02-08,39,0.6787886536156612,2.230780716579049e-22,0.6787886536156612
1999-02-09,40,0.6570674166999602,2.2307807165790507e-22,0.6570674166999602
1999-02-10,41,0.6407764890131843,2.2307807165790526e-22,0.6407764890131843
1999-02-11,42,0.6244855613264083,2.230780716579054e-22,0.6244855613264083
1999-02-12,43,0.6190552520974829,2.230780716579056e-22,0.6190552520974829
1999-02-13,44,0.6244855613264083,2.2307807165790573e-22,0.6244855613264083
1999-02-14,45,0.6299158705553336,2.230780716579059e-22,0.6299158705553336
1999-02-15,46,0.6244855613264083,2.2307807165790606e-22,0.6244855613264083
1999-02-16,47,0.6190552520974829,2.2307807165790624e-22,0.6190552520974829
1999-02-17,48,0.6081946336396323,2.230780716579064e-22,0.6081946336396323
1999-02-18,49,0.5973340151817819,2.2307807165790653e-22,0.5973340151817819
1999-02-19,50,0.5864733967239314,2.230780716579067e-22,0.5864733967239314
1999-02-20,51,0.5756127782660807,2.2307807165790686e-22,0.5756127782660807
1999-02-21,52,0.5701824690371554,2.2307807165790704e-22,0.5701824690371554
1999-02-22,53,0.543030922892529,2.230780716579072e-22,0.543030922892529
1999-02-23,54,0.5213096859768278,2.2307807165790737e-22,0.5213096859768278
1999-02-24,55,0.5104490675189772,2.2307807165790756e-22,0.5104490675189772
1999-02-25,56,0.49958844906112654,2.230780716579077e-22,0.49958844906112654
1999-02-26,57,0.4941581398322013,2.230780716579079e-22,0.4941581398322013
1999-02-27,58,0.48872783060327607,2.2307807165790803e-22,0.48872783060327607
1999-02-28,59,0.48872783060327607,2.230780716579082e-22,0.48872783060327607
1999-03-01,60,0.49958844906112654,2.2307807165790836e-22,0.49958844906112654
1999-03-02,61,0.5321703044346785,1.0252411466067869e-5,0.5321600520232125
1999-03-03,62,0.5538915413503794,4.7744114461952864e-5,0.5538437972359175
1999-03-04,63,0.6081946336396323,0.0001240497567157325,0.6080705838829166
1999-03-05,64,0.6733583443867359,0.0002717755829960228,0.6730865688037398
1999-03-06,65,0.7602432920495406,0.0004659372135834252,0.7597773548359571
1999-03-07,66,0.8688494766280463,0.0006966954818122635,0.8681527811462341
1999-03-08,67,0.9883162796644026,0.0009612121339561428,0.9873550675304464
1999-03-09,68,1.031758753495805,0.001263692631757641,1.0304950608640473
1999-03-10,69,1.0426193719536556,0.001561648931897952,1.0410577230217577
1999-03-11,70,1.0208981350379545,0.0017436345367937782,1.0191545005011606
1999-03-12,71,0.9991768981222531,0.0018194487666648163,0.9973574493555882
1999-03-13,72,0.9665950427487017,0.0015452927263359833,0.9650497500223657
1999-03-14,73,0.9774556612065521,0.0012730275866858934,0.9761826336198662
1999-03-15,74,0.9926605270475428,0.0010354613508527842,0.9916250656966901
1999-03-16,75,1.0393611864163004,0.000835015885335313,1.038526170530965
1999-03-17,76,1.0610824233320015,0.000676220627377499,1.060406202704624
1999-03-18,77,1.0686848562524969,0.0005686268441554392,1.0681162294083415
1999-03-19,78,1.0817175984019178,0.0005255878981024689,1.0811920105038153
1999-03-20,79,1.086061845785058,0.0005068718716540943,1.0855549739134038
1999-03-21,80,1.086061845785058,0.00047260364793470447,1.0855892421371232
1999-03-22,81,1.0969224642429085,0.00043621727184487135,1.0964862469710637
1999-03-23,82,1.183807411905713,0.00044961261588280234,1.18335779928983
1999-03-24,83,1.183807411905713,0.0005525207793966654,1.1832548911263163
1999-03-25,84,1.2055286488214143,0.0007278462419969047,1.2048008025794175
1999-03-26,85,1.2272498857371157,0.0009788612333205577,1.226271024503795
1999-03-27,86,1.2489711226528166,0.0013243923932145874,1.247646730259602
1999-03-28,87,1.3249954518577705,0.001825208606106049,1.3231702432516643
1999-03-29,88,1.4661834918098282,0.0026541550596586565,1.4635293367501696
1999-03-30,89,1.6725352425089892,0.003940014656192275,1.668595227852797
1999-03-31,90,1.8571657562924493,0.0052092261582682145,1.8519565301341812
1999-04-01,91,1.9983537962445062,0.00649605841387615,1.99185773783063
1999-04-02,92,2.1178205992808627,0.008835276200022278,2.1089853230808404
1999-04-03,93,2.2264267838593685,0.013201213241048086,2.2132255706183206
1999-04-04,94,2.3458935868957256,0.02158885928660516,2.32430472760912
1999-04-05,95,2.367614823811426,0.0352865222011672,2.3323283016102585
1999-04-06,96,2.4110572976428286,0.049362790339357275,2.361694507303471
