date,time_step,observed,simulated,residual
2004-01-11,1837,1.8137232824610465,0.733586163857846,1.0801371186032005
2004-01-12,1838,1.7159777163403918,0.7265110755499591,0.9894666407904327
2004-01-13,1839,1.607371531761886,0.7210122930014038,0.8863592387604822
2004-01-14,1840,1.520486584099081,0.7163474439011168,0.8041391401979643
2004-01-15,1841,1.4336016364362762,0.71216085942183,0.7214407770144462
2004-01-16,1842,1.3575773072313224,0.7082191266488662,0.6493581805824562
2004-01-17,1843,1.2924135964842187,0.7044146124038391,0.5879989840803796
2004-01-18,1844,1.2272498857371157,0.7006798281039541,0.5265700576331616
2004-01-19,1845,1.1729467934478628,0.696933964405185,0.47601282904267783
2004-01-20,1846,1.11864370115861,0.6930825177200679,0.425561183438542
2004-01-21,1847,1.0773733510187775,0.6890281673331624,0.3883451836856151
2004-01-22,1848,1.0371890627247302,0.6846867490038647,0.3525023137208655
2004-01-23,1849,0.994832650739113,0.6799929671794488,0.3148396835596642
2004-01-24,1850,0.9611647335197762,0.6748929216655152,0.286271811854261
2004-01-25,1851,0.9285828781462246,0.6697753555103864,0.2588075226358383
2004-01-26,1852,0.900345270155813,0.665047236957418,0.23529803319839504
2004-01-27,1853,0.8666773529364763,0.6608915532312745,0.20578579970520183
2004-01-28,1854,0.8395258067918497,0.657376109829885,0.1821496969619647
2004-01-29,1855,0.809116075109868,0.6544034503250894,0.15471262478477865
2004-01-30,1856,0.7819645289652417,0.6517067508469778,0.1302577781182639
2004-01-31,1857,0.7558990446664003,0.6491358633256867,0.10676318134071361
2004-02-01,1858,0.7341778077506992,0.6466116451925259,0.08756616255817329
2004-02-02,1859,0.7113705089892131,0.644035912070726,0.06733459691848709
2004-02-03,1860,0.691821395765082,0.6413013589237191,0.05052003684136286
2004-02-04,1861,0.6701001588493807,0.6382753164904595,0.031824842358921135
2004-02-05,1862,0.6494649837794647,0.6348092883253176,0.014655695454147133
2004-02-06,1863,0.6288298087095485,0.6308656669931128,-0.002035858283564229
2004-02-07,1864,0.6125388810227727,0.6264574338928178,-0.013918552870045175
2004-02-08,1865,0.5929897677986417,0.6215473656681658,-0.028557597869524165
2004-02-09,1866,0.5777849019576508,0.6163463833465549,-0.03856148138890414
2004-02-10,1867,0.5614939742708749,0.6112442689994765,-0.049750294728601596
2004-02-11,1868,0.5462891084298841,0.6065138884238553,-0.060224779993971245
2004-02-12,1869,0.5332563662804635,0.6023891530278203,-0.06913278674735679
2004-02-13,1870,0.5191375622852576,0.5986808458115929,-0.07954328352633522
2004-02-14,1871,0.506104820135837,0.5950143942467625,-0.08890957411092548
2004-02-15,1872,0.4941581398322013,0.591317501126368,-0.09715936129416675
2004-02-16,1873,0.48221145952856564,0.5875200309720205,-0.1053085714434549
2004-02-17,1874,0.4735229647622853,0.5834923588862354,-0.10996939412395013
2004-02-18,1875,0.46266234630443465,0.5796282506698915,-0.1169659043654569
2004-02-19,1876,0.4539738515381542,0.5763468770270883,-0.12237302548893408
2004-02-20,1877,0.4452853567718737,0.5734992799755467,-0.12821392320367303
2004-02-21,1878,0.4355108001598082,0.5709056770520144,-0.13539487689220625
2004-02-22,1879,0.42790836723931275,0.5686658348115294,-0.1407574675722167
2004-02-23,1880,0.4203059343188174,0.5664408526467004,-0.146134918327883
2004-02-24,1881,0.41378956324410715,0.5638133701881487,-0.15002380694404155
2004-02-25,1882,0.4051010684778266,0.5605871159793451,-0.15548604750151845
2004-02-26,1883,0.39967075924890133,0.5568844593642481,-0.1572137001153468
2004-02-27,1884,0.39206832632840594,0.5530307817847777,-0.16096245545637178
2004-02-28,1885,0.3866380170994807,0.5492627407778296,-0.16262472367834885
2004-02-29,1886,0.3812077078705553,0.5456747181043097,-0.16446701023375437
2004-03-01,1887,0.37686346048741504,0.5422160689396434,-0.16535260845222832
2004-03-02,1888,0.37360527495005985,0.5388420640599783,-0.1652367891099184
2004-03-03,1889,0.37360527495005985,0.5375764048984831,-0.16397112994842328
2004-03-04,1890,0.37360527495005985,0.5422663347756065,-0.16866105982554663
2004-03-05,1891,0.39967075924890133,0.5516657352230359,-0.15199497597413453
2004-03-06,1892,0.4561459752297244,0.5645939461773118,-0.10844797094758746
2004-03-07,1893,0.48764176875749105,0.5804421497761695,-0.09280038101867844
2004-03-08,1894,0.48221145952856564,0.5989342159072326,-0.11672275637866697
2004-03-09,1895,0.4756950884538554,0.6200682382584575,-0.14437314980460209
2004-03-10,1896,0.47026477922493004,0.6439257437066384,-0.1736609644817083
2004-03-11,1897,0.46266234630443465,0.5861904248915482,-0.12352807858711351
2004-03-12,1898,0.4539738515381542,0.531217793954374,-0.07724394241621974
2004-03-13,1899,0.44637141861765883,0.515995280224316,-0.06962386160665712
2004-03-14,1900,0.44202717123451857,0.5091376877194811,-0.06711051648496252
2004-03-15,1901,0.4355108001598082,0.504490360315507,-0.06897956015569878
2004-03-16,1902,0.42790836723931275,0.5004973356494357,-0.07258896841012291
2004-03-17,1903,0.4203059343188174,0.4967371188694554,-0.07643118455063797
2004-03-18,1904,0.41270350139832196,0.4931643975529729,-0.08046089615465096
2004-03-19,1905,0.4072731921693967,0.49005495637923013,-0.08278176420983341
2004-03-20,1906,0.40292894478625646,0.48766900399058233,-0.08474005920432587
2004-03-21,1907,0.39967075924890133,0.4855960368273068,-0.08592527757840546
2004-03-22,1908,0.39532651186576107,0.48365347724754737,-0.0883269653817863
2004-03-23,1909,0.39098226448262086,0.4818990244070409,-0.09091675992442005
2004-03-24,1910,0.3844658934079105,0.48034639119965716,-0.09588049779174668
2004-03-25,1911,0.3833798315621255,0.47887138989756334,-0.09549155833543782
2004-03-26,1912,0.3833798315621255,0.48502096859494714,-0.10164113703282163
2004-03-27,1913,0.41053137770675185,0.5342334178122641,-0.12370204010551222
2004-03-28,1914,0.4452853567718737,0.6697945243570718,-0.22450916758519807
2004-03-29,1915,0.48655570691170597,0.8803517837574191,-0.3937960768457131
2004-03-30,1916,0.5397727373551738,1.140806401178093,-0.6010336638229191
2004-03-31,1917,0.6223134376348383,1.4415078077291392,-0.819194370094301
2004-04-01,1918,0.7222311274470634,1.784862799512539,-1.0626316720654756
2004-04-02,1919,0.8514724870954855,2.180222949190988,-1.3287504620955026
2004-04-03,1920,1.0838897220934878,2.24164862710524,-1.157758905011752
2004-04-04,1921,1.2598317411106672,1.4519334087067395,-0.19210166759607228
2004-04-05,1922,1.4770441102676788,1.0966281381075775,0.38041597216010126
2004-04-06,1923,1.6616746240511389,1.274213251852124,0.3874613721990148
2004-04-07,1924,1.7920020455453456,1.4519681727281752,0.34003387281717035
2004-04-08,1925,1.9223294670395523,1.5738928634694633,0.348436603570089
2004-04-09,1926,2.030935651618058,1.6370131122633467,0.39392253935471144
2004-04-10,1927,2.1178205992808627,1.4838011231122172,0.6340194761686455
2004-04-11,1928,2.1829843100279662,1.0387920548982148,1.1441922551297514
2004-04-12,1929,2.23728740231722,0.7298207898383857,1.507466612478834
2004-04-13,1930,2.2807298761486217,0.6513338493437588,1.6293960268048628
2004-04-14,1931,2.834621417499001,0.7073720431513087,2.1272493743476923
2004-04-15,1932,3.355931103475829,0.9439071948309926,2.4120239086448363
2004-04-16,1933,3.757773986416301,1.3235182198197373,2.4342557665965634
2004-04-17,1934,4.083592540151818,1.815392458062701,2.268200082089117
2004-04-18,1935,4.51801727846584,2.439221540598708,2.0787957378671322
2004-04-19,1936,5.223957478226128,3.264200673050922,1.9597568051752066
