metric,original_KGE,log_LogKGE
NSE,0.4524485134435201,0.2804136940736942
KGE,0.4195322993737963,0.22303853435335375
LogNSE,0.009819249780692929,-0.3034880112546141
LogKGE,0.22176476593627992,0.0595530683085056
RMSE,2.9392553871578113,3.369506407990697
PBIAS,9.404609109835132,12.842776429062457
R2,0.487268379171686,0.3211483402658266
